Part No,Core,Series,Package,Max Speed (MHz),Flash (Bytes),SRAM (Bytes),I/O,GPTM (32bit),GPTM (16bit),Advanced TM (16bit),HRTM,Basic TM (64bit),Basic TM (32bit),Basic TM (16bit),LPTM (32bit),LPTM (16bit),SysTick (64bit),SysTick (24bit),WDG,RTC,USART+UART,LPUART,I2C,QSPI,SPI,I2S,CAN 2.0B,USB 2.0,Ethernet,EtherCAT Slave Controller,SDIO,MFCOM,LIN,LCD-TFT,Segment LCD,Camera,IPA,SAI,TMU,EXMC,CEC,14bit ADC Units (CHs),12bit ADC Units (CHs),12bit DAC Units,Comp,IEEE 802.11,Bluetooth,Date
GD32G553QCT7,Cortex�-M33,GD32G553,LQFP128,216,256K,128K,up to 107,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(42),8,8,0,0,2024-12-10
GD32G553QET7,Cortex�-M33,GD32G553,LQFP128,216,512K,128K,up to 107,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(42),8,8,0,0,2024-12-10
GD32G553VCT7,Cortex�-M33,GD32G553,LQFP100,216,256K,128K,up to 86,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(42),8,8,0,0,2024-12-10
GD32G553VET7,Cortex�-M33,GD32G553,LQFP100,216,512K,128K,up to 86,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(42),8,8,0,0,2024-12-10
GD32G553MCY7TR,Cortex�-M33,GD32G553,WLCSP81,216,256K,128K,up to 66,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(39),8,8,0,0,2024-12-10
GD32G553MEY7TR,Cortex�-M33,GD32G553,WLCSP81,216,512K,128K,up to 66,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(39),8,8,0,0,2024-12-10
GD32G553MCT7,Cortex�-M33,GD32G553,LQFP80,216,256K,128K,up to 66,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(38),8,8,0,0,2024-12-10
GD32G553MET7,Cortex�-M33,GD32G553,LQFP80,216,512K,128K,up to 66,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(38),8,8,0,0,2024-12-10
GD32G553RCT7,Cortex�-M33,GD32G553,LQFP64,216,256K,128K,up to 52,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(26),8,7,0,0,2024-12-10
GD32G553RET7,Cortex�-M33,GD32G553,LQFP64,216,512K,128K,up to 52,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(26),8,7,0,0,2024-12-10
GD32G553CCT7,Cortex�-M33,GD32G553,LQFP48,216,256K,128K,up to 39,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(20),8,7,0,0,2024-12-10
GD32G553CET7,Cortex�-M33,GD32G553,LQFP48,216,512K,128K,up to 39,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(20),8,7,0,0,2024-12-10
GD32G553CCU7,Cortex�-M33,GD32G553,QFN48,216,256K,128K,up to 43,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(21),8,7,0,0,2024-12-10
GD32G553CEU7,Cortex�-M33,GD32G553,QFN48,216,512K,128K,up to 43,2,5,3,1,0,0,2,0,1,0,1,2,1,3+2,0,4,1,3,0,3xFD,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4(21),8,7,0,0,2024-12-10
GD32F527IMT7,Cortex�-M33,GD32F527,LQFP176,200,4608K,1088K,up to 140,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,6,0,6,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(24),2,0,0,0,2024-12-10
GD32F527IST7,Cortex�-M33,GD32F527,LQFP176,200,7680K,576K,up to 140,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,6,0,6,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(24),2,0,0,0,2024-12-10
GD32F527IMK7,Cortex�-M33,GD32F527,BGA176,200,4608K,1088K,up to 140,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,6,0,6,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(24),2,0,0,0,2024-12-10
GD32F527ISK7,Cortex�-M33,GD32F527,BGA176,200,7680K,576K,up to 140,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,6,0,6,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(24),2,0,0,0,2024-12-10
GD32F527ZMT7,Cortex�-M33,GD32F527,LQFP144,200,4608K,1088K,up to 114,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,6,0,6,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(24),2,0,0,0,2024-12-10
GD32F527ZST7,Cortex�-M33,GD32F527,LQFP144,200,7680K,576K,up to 114,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,6,0,6,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(24),2,0,0,0,2024-12-10
GD32F527VMT7,Cortex�-M33,GD32F527,LQFP100,200,4608K,1088K,up to 82,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,3,0,5,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(16),2,0,0,0,2024-12-10
GD32F527VST7,Cortex�-M33,GD32F527,LQFP100,200,7680K,576K,up to 82,2,8,2,0,0,0,2,0,0,0,1,2,1,4+4,0,3,0,5,2,2xFD,(FS+HS) OTG,1,0,1,0,0,1,0,0,1,1,0,1,0,0,3(16),2,0,0,0,2024-12-10
GD32F527RMT7,Cortex�-M33,GD32F527,LQFP64,200,4608K,1088K,up to 51,2,8,2,0,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,2xFD,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3(16),2,0,0,0,2024-12-10
GD32F527RST7,Cortex�-M33,GD32F527,LQFP64,200,7680K,576K,up to 51,2,8,2,0,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,2xFD,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3(16),2,0,0,0,2024-12-10
GD32E518CET6,Cortex�-M33,GD32E518,LQFP48,180,512K,128K,up to 37,1,12,2,1,0,0,2,0,0,0,1,2,1,3+0,0,3,0,3,2,3xFD,(FS+HS) OTG,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3(10),3,3,0,0,2024-12-10
GD32E518RET6,Cortex�-M33,GD32E518,LQFP64,180,512K,128K,up to 51,1,12,2,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3xFD,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3(16),3,3,0,0,2024-12-10
GD32E518VET6,Cortex�-M33,GD32E518,LQFP100,180,512K,128K,up to 80,1,12,2,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3xFD,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3(16),3,3,0,0,2024-12-10
GD32E518ZET6,Cortex�-M33,GD32E518,LQFP144,180,512K,128K,up to 112,1,12,2,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3xFD,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3(21),3,3,0,0,2024-12-10
GD32E517RCT6,Cortex�-M33,GD32E517,LQFP64,180,256K,96K,up to 51,1,6,1,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3(16),3,3,0,0,2024-12-10
GD32E517RET6,Cortex�-M33,GD32E517,LQFP64,180,512K,128K,up to 51,1,12,2,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,0,0,0,3(16),3,3,0,0,2024-12-10
GD32E517VCT6,Cortex�-M33,GD32E517,LQFP100,180,256K,96K,up to 80,1,6,1,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3(16),3,3,0,0,2024-12-10
GD32E517VET6,Cortex�-M33,GD32E517,LQFP100,180,512K,128K,up to 80,1,12,2,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3(16),3,3,0,0,2024-12-10
GD32E517ZCT6,Cortex�-M33,GD32E517,LQFP144,180,256K,96K,up to 112,1,6,2,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3(21),3,3,0,0,2024-12-10
GD32E517ZET6,Cortex�-M33,GD32E517,LQFP144,180,512K,128K,up to 112,1,12,2,1,0,0,2,0,0,0,1,2,1,4+2,0,3,0,3,2,3,(FS+HS) OTG,1,0,1,0,0,0,0,0,0,0,1,1,0,0,3(21),3,3,0,0,2024-12-10
GD32E513CCO6,Cortex�-M33,GD32E513,QFN48,180,256K,96K,up to 37,1,6,1,1,0,0,2,0,0,0,1,2,1,3+0,0,3,0,3,2,2,FS,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3(10),3,3,0,0,2024-12-10
